CODGEO,SUPERF,P20_RP,MED20,TP6020,P20_EMPLT,ETOQ21
95229,5.19,3860.0,25080,"11,0",1401.92073334728,23.0
95241,10.84,717.445130145509,25080,s,271.762154700128,6.0
95250,3.61,3619.61061365429,22740,"12,0",1741.89346101088,23.0
95252,6.19,15732.3542196973,23460,"14,0",6777.83074289084,86.0
95253,5.61,215.058120403719,29030,s,33.1494785447827,2.0
95254,4.28,209.0,30260,s,47.5161272966756,3.0
95256,3.35,1237.0,27600,"6,0",584.625585925346,3.0
95257,2.02,1896.71925206281,30930,"6,0",482.889800041174,8.0
95258,7.6,151.914261266653,31340,s,35.427829905203,2.0
95268,5.47,14072.3383719502,15460,"38,0",8208.4171532054,97.0
95270,10.5,222.996509433652,27330,s,86.4593564084452,3.0
95271,6.44,203.0,28290,s,295.72499628007,2.0
95277,20.09,9654.63895681638,18680,"25,0",15297.5862280993,76.0
95280,11.52,10289.3991943519,17800,"28,0",8533.6610177479,69.0
95282,0.77,68.3835616438356,28970,s,22.7151645718689,2.0
95287,7.15,295.70654707917,30240,s,98.6293122549551,2.0
95288,2.95,3221.0,25700,"12,0",1408.30979709319,17.0
95295,6.16,63.1172413793103,28870,s,22.6672411993453,1.0
95298,10.9,201.0,30570,s,63.4180013226493,4.0
95301,2.57,134.0,24820,s,14.9875143202862,1.0
95303,1.96,84.6635071090047,27710,s,11.6658937968112,1.0
95304,5.28,119.0,33460,s,25.0286910280944,2.0
95306,12.74,11843.1927609469,26570,"11,0",8162.96871968329,76.0
95308,8.42,221.809760640191,30410,s,111.346725914349,2.0
95309,4.37,86.1466666666667,25550,s,32.8260521182438,2.0
95313,14.94,5640.96370833493,27690,"8,0",4325.87578081319,75.0
95316,4.18,103.653763681123,30860,s,15.005414377017,1.0
95323,6.89,5974.85987249494,24320,"10,0",3098.36490422683,40.0
95328,8.07,260.599019786957,27230,s,61.2075371089319,2.0
95331,1.92,79.4157894736842,24850,s,18.3993329957447,1.0
95341,6.53,152.395987360912,31230,s,38.8397338072233,2.0
95348,8.5,213.758398734257,30040,s,47.9039340196884,3.0
95351,11.33,4182.67112872561,22230,"14,0",2880.73070924687,25.0
95352,20.49,1999.0,27170,"7,0",1022.24317168107,12.0
95353,6.79,722.438981086231,28150,s,189.740396062923,2.0
95355,14.02,2441.31560205754,23080,"12,0",2120.58794572602,29.0
95365,7.0,276.572105624921,27320,s,63.9539718967844,2.0
95369,0.72,1193.64702739096,30810,s,817.40455933888,9.0
95370,8.26,1326.34581921985,26030,"7,0",1648.98115159068,12.0
95371,8.62,2111.30081436167,26090,"7,0",2172.08634456697,14.0
95379,6.55,77.0098522167488,28270,s,13.4671829603937,1.0
95387,2.78,27.0,s,s,12.7661882343225,1.0
95388,3.68,2196.42229667882,25630,"6,0",873.705689653644,16.0
95392,5.31,2087.0,26790,"7,0",599.078776648078,13.0
95394,11.17,3719.05314606923,25700,"10,0",2254.44475648197,22.0
95395,6.64,329.620209490978,26480,s,104.85068097469,4.0
95409,1.46,508.112997503731,27840,s,1267.82889661043,4.0
95422,4.97,154.97138264168,30020,s,30.5230595952248,3.0
95424,4.07,7552.02328014811,21240,"18,0",3733.61131926646,41.0
95426,2.84,1163.66315699862,32340,s,546.093750384858,11.0
95427,2.91,5281.86163776516,20480,"22,0",2122.64624492593,30.0
95428,5.37,9040.19876007095,27690,"11,0",4168.57046257206,67.0
95429,7.15,161.750157053986,27100,s,50.8881049171966,3.0
95430,3.84,1431.42574770135,27640,"5,0",1443.35791660105,9.0
95436,2.45,617.252336850404,27660,s,179.252853156097,3.0
95438,4.75,44.0,25730,s,17.9288059565011,0.0
95445,6.68,276.939351014572,28050,s,55.1516974733185,2.0
95446,13.46,770.325256641964,29650,s,328.714732515662,6.0
95447,2.96,95.7636363636364,27280,s,10.1504749084622,2.0
95450,4.25,915.779482654948,31970,s,1113.64552009965,7.0
95452,3.2,349.066657340812,27840,s,61.5373595694735,2.0
95456,3.79,261.197493346208,27020,s,76.7723121795078,2.0
95459,7.65,267.094547591695,26670,s,401.910976393469,4.0
95462,11.98,132.689098306166,27870,s,36.2660077887327,2.0
95476,12.52,6183.79480924807,25550,"12,0",8405.76775380754,85.0
95480,9.2,2126.0,27930,"6,0",666.365199507268,14.0
95483,5.46,196.803454748498,28590,s,72.3512836533806,3.0
95487,5.14,5166.37642105469,18990,"22,0",3958.67946345107,33.0
95488,9.21,3636.16353020938,22950,"14,0",3070.58307494487,16.0
95489,4.08,263.538027359832,27240,s,221.950995155213,4.0
95491,2.69,3454.87979216338,28240,"7,0",1394.19895992341,17.0
95492,4.1,34.659793814433,s,s,31.4306080979895,0.0
95493,0.9,60.0,25730,s,21.0173538087293,3.0
95500,7.15,13671.3565196023,21580,"19,0",14698.9543589689,140.0
95504,9.95,1526.41028131113,28870,s,561.04112512797,10.0
95509,5.11,1337.0,25830,"8,0",316.475631491931,5.0
95510,5.64,196.772316178196,26740,s,863.185230851023,3.0
95523,4.61,199.163016246257,25650,s,353.943299445876,6.0
95527,14.09,1299.8944112666,24690,"10,0",73317.7953204028,32.0
95529,4.74,345.901365843751,28830,s,67.2083957842762,3.0
95535,10.53,444.344620222255,29180,s,122.527432919268,2.0
95539,6.0,5709.82840868267,24150,"13,0",3230.6645283193,36.0
95541,12.18,337.317284071165,22430,s,113.570086491224,4.0
95543,3.89,95.797520661157,27090,s,21.658844946213,2.0
95554,13.18,370.0109975245,29250,s,59.3513288237295,4.0
95555,2.42,8932.04878439223,23520,"16,0",3823.33900798335,50.0
95563,5.24,6613.28761218406,28020,"9,0",2950.97287710651,44.0
95566,13.23,971.0,25330,"8,0",421.380700759366,8.0
95572,12.21,10039.0879050185,20810,"20,0",20114.6128617336,90.0
95574,7.93,2752.19894233019,30640,"7,0",936.595471261731,16.0
95580,7.66,915.753168065298,34650,s,1305.06210999559,7.0
95582,4.78,10692.2527727387,23550,"16,0",4938.02027926382,62.0
95584,5.34,255.132689203833,29060,s,49.4446739864424,2.0
95585,8.45,19611.8740278252,16380,"33,0",14533.5016633961,208.0
95592,11.28,528.796953539207,29960,s,184.584789426666,4.0
95594,1.7,438.0,28230,s,75.3664845616307,2.0
95598,3.98,7377.90562818361,25410,"12,0",3612.50557298648,47.0
95604,5.38,1686.5627383251,23080,"12,0",1564.52193930408,10.0
95607,10.48,10639.1406188733,24800,"11,0",7279.72906680554,76.0
95610,7.58,115.552673894282,31150,s,102.108855025974,1.0
95611,4.97,21.2,s,s,3.35555555555556,1.0
95612,3.94,1674.66598646597,22310,"16,0",1744.18648599112,10.0
95625,10.98,519.062833416665,27800,s,246.110171412573,6.0
95627,7.6,239.862692187159,31890,s,92.1630100540748,5.0
95628,4.59,535.0,28210,s,172.802567116476,2.0
95633,0.09,39.7878787878788,23190,s,103.484709834026,1.0
95637,3.46,5976.76306787906,24420,"11,0",1931.2054258887,31.0
95641,8.18,1032.74768661541,25300,"10,0",1144.78476692826,4.0
95651,4.3,418.371732539275,25460,s,127.200900144923,4.0
95652,8.19,2187.71156794936,27100,"7,0",854.51522231452,21.0
95656,3.76,174.119129187363,27710,s,31.0889007221391,4.0
95658,6.56,425.940521334954,30070,s,581.523795877858,9.0
95660,1.89,294.953525312903,29030,s,136.819679648627,2.0
95675,5.61,591.088220496748,24770,s,505.44816130445,2.0
95676,8.25,204.893576265697,28010,s,79.7739483265898,2.0
95678,9.82,350.688269855421,30770,s,91.0410030200633,4.0
95680,7.3,9793.30597866619,15950,"35,0",5109.3222882382,87.0
95682,3.26,73.5238095238095,24730,s,31.251311443033,0.0
95690,8.37,148.027771840293,31200,s,43.5115175270531,2.0
